query,intent
헬로우,0
헬로,0
안부 인사드립니다.,0
잘가 안녕.,0
이제 진짜 안녕!! 안녕!,0
이젠 진짜 진짜 안녕 맘 고생 많았어요.,0
안녕을 고하며 잘 보내주었나요.,0
안녕하세 안녕하세요.,0
안녕하세요,0
반가워요,0
반가반가,0
방가방가,0
하이,0
안녕,0
좋은 아침이야,0
진짜 반갑다,0
요즘 어떻게 지냈어요?,0
잘 지냈습니까?,0
잘지내지?,0
만나서 반가워요,0
만나서 반갑습니다,0
하이루,0
반갑,0
잘지냈어요?,0
잘지냈어?,0
나 먼저 잘게 안녕히 주무세요.,0
안녕히 주무세요.,0
안녕 안녕하세요.,0
안녕안녕 안녕하세요.,0
안녕하세요 안녕하세요.,0
안뇽 안녕하세요.,0
자야겠다. 안녕히 주무세요.,0
이제 그만 잘래 안녕히 주무세요.,0
가락지빵 주문 하고싶어요,2
가락지빵 먹고싶어요,2
가락지빵 하고싶어요,2
가락지빵 원해요,2
가락지빵 어떻게 해야 되요?,2
가락지빵 어떻게 해야 돼,2
가락지빵 하고 싶은데,2
가락지빵 알려줘,2
가락지빵 가르쳐줘,2
가락지빵 하고 싶다,2
가락지빵 하고 싶은데,2
가락지빵 할게요,2
가락지빵 도와줘,2
가락지빵 할께요,2
가락지빵 도와주세요,2
가락지빵 할 수 있나요?,2
가락지빵 가능 한가요,2
가락지빵 문의드려요,2
가락지빵 당일 가능한가요,2
가락지빵 해주세요,2
가락지빵 하려구요,2
가락지빵 되었나요,2
가락지빵 되나요,2
가락지빵 할수 있을까요?,2
가락지빵 싶어요,2
가락지빵 언제 가능,2
가락지빵 언제가능할까요,2
가락지빵 한가요?,2
가락지빵 어떻게 하나요,2
가락지빵 어떻게 되나요,2
가락지빵 어떻게 하나요,2
가락지빵 하는법,2
가락지빵 할래,2
가락지빵 해줘,2
가락지빵 확인,2
가락지빵 해야 합니다,2
가락지빵 가능할까요,2
가락지빵 몇시부터 가능한가요,2
가락지빵 다음주 주문,2
가락지빵 당일 주문,2
가락지빵 모레주문,2
가락지빵 내일 주문 하고 싶습니다.,2
가락지빵 내일 오후4시30분에 진료받으러 가겠습니다. 주문 부탁드립니다,2
가락지빵 내일주문 가능한가요?,2
가락지빵 내일주문하고싶어요,2
가락지빵 사랑니 발치 주문,2
가락지빵 여기서 치료주문이 되나요?,2
가락지빵 오늘 주문 가능한가요?,2
가락지빵 토요일주문,2
가락지빵 받고싶은데 주문 어떻게 하나요,2
가락지빵 하려고 하는데 주문 진행도와주세요,2
가락지빵 신청 어떻게 하나요,2
가락지빵 주문상담하고싶어요,2
가락지빵 1월17일 주문이요,2
가락지빵 통합주문,2
가락지빵 어떻게 주문해야되지요?,2
가락지빵 주문은 어떻게 해요?,2
가락지빵 사전주문가능한가요?,2
가락지빵 미리 주문할수있나요?,2
가락지빵 미리 주문가능할까요?,2
가락지빵 주문해주세요,2
가락지빵 주문하고싶어요,2
가락지빵 주문하고싶어요,2
가락지빵 주문 하는법 알려주세요,2
가락지빵 주문 잡고 싶은데요,2
가락지빵 주문 가능 여부,2
가락지빵 주문 가능한가요,2
가락지빵 주문 관련 문의드립니다,2
가락지빵 주문 하까 마까?,2
가락지빵 주문하까?,2
가락지빵 주문 관련 문의하고 싶어요,2
가락지빵 음식 주문하고싶어요,2
가락지빵 주문문의요,2
가락지빵 인터넷으로 주문할수 잇나요,2
가락지빵 최대한 빨리 주문할수 있는 방법이 있나요,2
가락지빵 주문빨리하고싶어요!,2
가락지빵 주문접수받아줘,2
가락지빵 주문가능한 수단 다 가르쳐줘,2
가락지빵 메뉴 주문해주세요,2
가락지빵 인터넷으로 주문할수 있나요,2
가락지빵 주문하게 전화번호 줘,2
가락지빵 주문하려고하는데 어디 전화하면되죠,2
가락지빵 주문하고싶어요,2
가락지빵 진료 주문 방법,2
가락지빵 주문하는데 오늘 가도 되나요,2
가락지빵 지금 음식 받을수 있나요,2
가락지빵 주문할수 있나요,2
가락지빵 주문하고 싶어요,2
가락지빵 주문 카톡으로 진행할께요,2
가락지빵 음식 주문 톡으로도 가능할지?,2
가락지빵 음식 카톡으로도 주문 되나요?,2
가락지빵 메뉴 카톡으로도 주문 되나요?,2
가락지빵 음식 주문 가능한가요,2
가락지빵 메뉴 주문 가능한가요,2
가락지빵 주문하고싶은데 진행을 어떻게 하면 되나요,2
가락지빵 방문이나 전화로 주문가능합니까?,2
가락지빵 주문 오케?,2
가락지빵 여기서 주문 가능,2
가락지빵 주문 변경 가능할까?,2
가락지빵 꼭 주문하고싶습니다,2
가락지빵 주문 오케이?,2
가락지빵 주문 하고 싶습니다,2
가락지빵 주문 가능,2
가락지빵 주문 해줘,2
가락지빵 메뉴 주문 해줘,2
가락지빵 음식 주문 해줘,2
가락지빵 주문 정보,2
가락지빵 주문 어디서 하죠?,2
가락지빵 온라인 주문 가능한가요?,2
가락지빵 주문ㄱㄱ,2
가락지빵 주문 하고 싶어요,2
가락지빵 주문하고파요,2
가락지빵 오전에 주문 원합니다,2
가락지빵 오후로 주문 가능함?,2
가락지빵 시키고 싶어요,2
가락지빵 시킬거야,2
가락지빵 메뉴 선택,2
가락지빵 음식 선택,2
가락지빵 선택,2
가락지빵 점심시간에 주문 가능합니까?,2
가락지빵 식사시간에 주문 해도 되요?,2
가락지빵 식사시간에 주문 가능?,2
가락지빵 점심시간에 주문 가능?,2
가락지빵 점심시간에 주문 할께요,2
가락지빵 저녁시간에 주문하고싶어요,2
가락지빵 평일 주문,2
가락지빵 주말주문하고싶어요,2
가락지빵 주말주문가능해요?,2
가락지빵 지금 주문 가능?,2
가락지빵 주문 콜?,2
가락지빵 당일 주문 콜?,2
가락지빵 담주 주문 콜?,2
가락지빵 담달 주문 콜?,2
가락지빵 내일 주문 콜?,2
가락지빵 내일 주문 가능?,2
가락지빵 내일 주문하고싶어요,2
가락지빵 담주 주문 할께요,2
가락지빵 담주 주문 할게요,2
가락지빵 지금 주문 할게요,2
가락지빵 주중 주문 원합니다,2
가락지빵 주문 바로 잡아주세요,2
가락지빵 방문 주문,2
가락지빵 바로 주문하고싶어,2
가락지빵 바로 주문할게,2
가락지빵 주문 가능할지,2
가락지빵 바로 주문 가능할지,2
가락지빵 주문 진행 할꼐요,2
가락지빵 주문 진행 할게요,2
가락지빵 지금바로 주문,2
가락지빵 주문 바로 할래요,2
가락지빵 오늘 주문하고싶어요,2
가락지빵 오늘주문가능한가요?,2
가락지빵 주문,2
가락지빵 주문할래,2
가락지빵 주문 할래,2
가래떡 ﻿주문 하고싶어요,2
가래떡 먹고싶어요,2
가래떡 하고싶어요,2
가래떡 원해요,2
가래떡 어떻게 해야 되요?,2
가래떡 어떻게 해야 돼,2
가래떡 하고 싶은데,2
가래떡 알려줘,2
가래떡 가르쳐줘,2
가래떡 하고 싶다,2
가래떡 하고 싶은데,2
가래떡 할게요,2
가래떡 도와줘,2
가래떡 할께요,2
가래떡 도와주세요,2
가래떡 할 수 있나요?,2
가래떡 가능 한가요,2
가래떡 문의드려요,2
가래떡 당일 가능한가요,2
가래떡 해주세요,2
가래떡 하려구요,2
가래떡 되었나요,2
가래떡 되나요,2
가래떡 할수 있을까요?,2
가래떡 싶어요,2
가래떡 언제 가능,2
가래떡 언제가능할까요,2
가래떡 한가요?,2
가래떡 어떻게 하나요,2
가래떡 어떻게 되나요,2
가래떡 어떻게 하나요,2
가래떡 하는법,2
가래떡 할래,2
가래떡 해줘,2
가래떡 확인,2
가래떡 해야 합니다,2
가래떡 가능할까요,2
가래떡 몇시부터 가능한가요,2
가래떡 다음주 주문,2
가래떡 당일 주문,2
가래떡 모레주문,2
가래떡 내일 주문 하고 싶습니다.,2
가래떡 내일 오후4시30분에 진료받으러 가겠습니다. 주문 부탁드립니다,2
가래떡 내일주문 가능한가요?,2
가래떡 내일주문하고싶어요,2
가래떡 사랑니 발치 주문,2
가래떡 여기서 치료주문이 되나요?,2
가래떡 오늘 주문 가능한가요?,2
가래떡 토요일주문,2
가래떡 받고싶은데 주문 어떻게 하나요,2
가래떡 하려고 하는데 주문 진행도와주세요,2
가래떡 신청 어떻게 하나요,2
가래떡 주문상담하고싶어요,2
가래떡 1월17일 주문이요,2
가래떡 통합주문,2
가래떡 어떻게 주문해야되지요?,2
가래떡 주문은 어떻게 해요?,2
가래떡 사전주문가능한가요?,2
가래떡 미리 주문할수있나요?,2
가래떡 미리 주문가능할까요?,2
가래떡 주문해주세요,2
가래떡 주문하고싶어요,2
가래떡 주문하고싶어요,2
가래떡 주문 하는법 알려주세요,2
가래떡 주문 잡고 싶은데요,2
가래떡 주문 가능 여부,2
가래떡 주문 가능한가요,2
가래떡 주문 관련 문의드립니다,2
가래떡 주문 하까 마까?,2
가래떡 주문하까?,2
가래떡 주문 관련 문의하고 싶어요,2
가래떡 음식 주문하고싶어요,2
가래떡 주문문의요,2
가래떡 인터넷으로 주문할수 잇나요,2
가래떡 최대한 빨리 주문할수 있는 방법이 있나요,2
가래떡 주문빨리하고싶어요!,2
가래떡 주문접수받아줘,2
가래떡 주문가능한 수단 다 가르쳐줘,2
가래떡 메뉴 주문해주세요,2
가래떡 인터넷으로 주문할수 있나요,2
가래떡 주문하게 전화번호 줘,2
가래떡 주문하려고하는데 어디 전화하면되죠,2
가래떡 주문하고싶어요,2
가래떡 진료 주문 방법,2
가래떡 주문하는데 오늘 가도 되나요,2
가래떡 지금 음식 받을수 있나요,2
가래떡 주문할수 있나요,2
가래떡 주문하고 싶어요,2
가래떡 주문 카톡으로 진행할께요,2
가래떡 음식 주문 톡으로도 가능할지?,2
가래떡 음식 카톡으로도 주문 되나요?,2
가래떡 메뉴 카톡으로도 주문 되나요?,2
가래떡 음식 주문 가능한가요,2
가래떡 메뉴 주문 가능한가요,2
가래떡 주문하고싶은데 진행을 어떻게 하면 되나요,2
가래떡 방문이나 전화로 주문가능합니까?,2
가래떡 주문 오케?,2
가래떡 여기서 주문 가능,2
가래떡 주문 변경 가능할까?,2
가래떡 꼭 주문하고싶습니다,2
가래떡 주문 오케이?,2
가래떡 주문 하고 싶습니다,2
가래떡 주문 가능,2
가래떡 주문 해줘,2
가래떡 메뉴 주문 해줘,2
가래떡 음식 주문 해줘,2
가래떡 주문 정보,2
가래떡 주문 어디서 하죠?,2
가래떡 온라인 주문 가능한가요?,2
가래떡 주문ㄱㄱ,2
가래떡 주문 하고 싶어요,2
가래떡 주문하고파요,2
가래떡 오전에 주문 원합니다,2
가래떡 오후로 주문 가능함?,2
가래떡 시키고 싶어요,2
가래떡 시킬거야,2
가래떡 메뉴 선택,2
가래떡 음식 선택,2
가래떡 선택,2
가래떡 점심시간에 주문 가능합니까?,2
가래떡 식사시간에 주문 해도 되요?,2
가래떡 식사시간에 주문 가능?,2
가래떡 점심시간에 주문 가능?,2
가래떡 점심시간에 주문 할께요,2
가래떡 저녁시간에 주문하고싶어요,2
가래떡 평일 주문,2
가래떡 주말주문하고싶어요,2
가래떡 주말주문가능해요?,2
가래떡 지금 주문 가능?,2
가래떡 주문 콜?,2
가래떡 당일 주문 콜?,2
가래떡 담주 주문 콜?,2
가래떡 담달 주문 콜?,2
가래떡 내일 주문 콜?,2
가래떡 내일 주문 가능?,2
가래떡 내일 주문하고싶어요,2
가래떡 담주 주문 할께요,2
가래떡 담주 주문 할게요,2
가래떡 지금 주문 할게요,2
가래떡 주중 주문 원합니다,2
가래떡 주문 바로 잡아주세요,2
가래떡 방문 주문,2
가래떡 바로 주문하고싶어,2
가래떡 바로 주문할게,2
가래떡 주문 가능할지,2
가래떡 바로 주문 가능할지,2
가래떡 주문 진행 할꼐요,2
가래떡 주문 진행 할게요,2
가래떡 지금바로 주문,2
가래떡 주문 바로 할래요,2
가래떡 오늘 주문하고싶어요,2
가래떡 오늘주문가능한가요?,2
가래떡 주문,2
가래떡 주문할래,2
가래떡 주문 할래,2
가루우유 ﻿주문 하고싶어요,2
가루우유 먹고싶어요,2
가루우유 하고싶어요,2
가루우유 원해요,2
가루우유 어떻게 해야 되요?,2
가루우유 어떻게 해야 돼,2
가루우유 하고 싶은데,2
가루우유 알려줘,2
가루우유 가르쳐줘,2
가루우유 하고 싶다,2
가루우유 하고 싶은데,2
가루우유 할게요,2
가루우유 도와줘,2
가루우유 할께요,2
가루우유 도와주세요,2
가루우유 할 수 있나요?,2
가루우유 가능 한가요,2
가루우유 문의드려요,2
가루우유 당일 가능한가요,2
가루우유 해주세요,2
가루우유 하려구요,2
가루우유 되었나요,2
가루우유 되나요,2
가루우유 할수 있을까요?,2
가루우유 싶어요,2
가루우유 언제 가능,2
가루우유 언제가능할까요,2
가루우유 한가요?,2
가루우유 어떻게 하나요,2
가루우유 어떻게 되나요,2
가루우유 어떻게 하나요,2
가루우유 하는법,2
가루우유 할래,2
가루우유 해줘,2
가루우유 확인,2
가루우유 해야 합니다,2
가루우유 가능할까요,2
가루우유 몇시부터 가능한가요,2
가루우유 다음주 주문,2
가루우유 당일 주문,2
가루우유 모레주문,2
가루우유 내일 주문 하고 싶습니다.,2
가루우유 내일 오후4시30분에 진료받으러 가겠습니다. 주문 부탁드립니다,2
가루우유 내일주문 가능한가요?,2
가루우유 내일주문하고싶어요,2
가루우유 사랑니 발치 주문,2
가루우유 여기서 치료주문이 되나요?,2
가루우유 오늘 주문 가능한가요?,2
가루우유 토요일주문,2
가루우유 받고싶은데 주문 어떻게 하나요,2
가루우유 하려고 하는데 주문 진행도와주세요,2
가루우유 신청 어떻게 하나요,2
가루우유 주문상담하고싶어요,2
가루우유 1월17일 주문이요,2
가루우유 통합주문,2
가루우유 어떻게 주문해야되지요?,2
가루우유 주문은 어떻게 해요?,2
가루우유 사전주문가능한가요?,2
가루우유 미리 주문할수있나요?,2
가루우유 미리 주문가능할까요?,2
가루우유 주문해주세요,2
가루우유 주문하고싶어요,2
가루우유 주문하고싶어요,2
가루우유 주문 하는법 알려주세요,2
가루우유 주문 잡고 싶은데요,2
가루우유 주문 가능 여부,2
가루우유 주문 가능한가요,2
가루우유 주문 관련 문의드립니다,2
가루우유 주문 하까 마까?,2
가루우유 주문하까?,2
가루우유 주문 관련 문의하고 싶어요,2
가루우유 음식 주문하고싶어요,2
가루우유 주문문의요,2
가루우유 인터넷으로 주문할수 잇나요,2
가루우유 최대한 빨리 주문할수 있는 방법이 있나요,2
가루우유 주문빨리하고싶어요!,2
가루우유 주문접수받아줘,2
